SMILES1,SMILES2,cocrystal
CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,CC1=CC(=C(C=C1)C(C)C)O,0
C1=CNN=C1,C1=NC=NN1,0
C1=CC(=CC=C1N)N,C1=CC=C(C(=C1)N)N,0
C1=CC(=CC(=C1)O)C=O,C1=CC(=CC=C1[N+](=O)[O-])O,0
C1=CC(=CC=C1N)[N+](=O)[O-],C1=CC=C(C=C1)C2=CC=CC=C2O,0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],0
C(=O)(N)N,CC1=CC(=O)N(N1C)C2=CC=CC=C2,0
C1=CC=C(C(=C1)N)[N+](=O)[O-],C1=CC=C(C=C1)C(=O)C(=O)C2=CC=CC=C2,0
C1=CC=C(C=C1)OC(=O)C2=CC=CC=C2O,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,0
C1=CC(=CN=C1)C(=O)N,C1=CC=C(C=C1)C(=O)N,0
C1=CC(=CC=C1C(=O)O)O,CC1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC=C1C(=O)O)O,C1=CC=C(C=C1)C(=O)O,0
C1=CC=C2C(=C1)C=CC=C2O,C1=CC=C2C=C(C=CC2=C1)O,0
C1=CC=C2C(=C1)C=CC=C2N,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-],0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=CC=C1C(=O)N)N,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,0
C1=CC(=CC=C1[N+](=O)[O-])O,C1=CC=C(C(=C1)C(=O)N)O,0
C1=CC(=CC=C1C(=O)O)Br,COC1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC=C1C(=O)O)Cl,COC1=CC=C(C=C1)C(=O)O,0
C1=CC(=CC(=C1)[N+](=O)[O-])C(=O)O,C1=CC(=CC(=C1)O)C(=O)O,0
C1=CC(=CC(=C1)N)N,C1=CC(=CC=C1N)N,0
C1=CC(=CC(=C1)[N+](=O)[O-])N,C1=CC(=CC=C1O)O,0
C1=C(C=C(C(=C1[N+](=O)[O-])O)[N+](=O)[O-])[N+](=O)[O-],C1=CC(=CC(=C1)[N+](=O)[O-])[N+](=O)[O-],0
CC1=C(C(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C)[N+](=O)[O-],CC1=CC=C(C=C1)[N+](=O)[O-],0
CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-],CC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
C1=CC(=C(C=C1O)C(=O)O)O,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,0
C1=CC(=CC(=C1)Cl)Cl,C1CC2=CC=CC3=C2C1=CC=C3,0
C1=CC(=CC=C1C(=O)O)I,COC1=CC=C(C=C1)C(=O)O,0
C1=CC=C(C=C1)C2=CC=CC=C2,C1CC2=CC=CC3=C2C1=CC=C3,0
C1=CC=C(C=C1)C(=O)O,CC1=CC=CC=C1[N+](=O)[O-],0
C1=CC(=CC(=C1)N)N,C1=CC=C(C(=C1)N)N,0
C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])O,C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,0
C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],COC1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],0
