SMILES1,SMILES2,cocrystal,mol1_top1_pos,mol1_top1_val,mol2_top1_pos,mol2_top1_val,mol1_top2_pos,mol1_top2_val,mol2_top2_pos,mol2_top2_val,mol1_top3_pos,mol1_top3_val,mol2_top3_pos,mol2_top3_val,mol1_top4_pos,mol1_top4_val,mol2_top4_pos,mol2_top4_val,mol1_top5_pos,mol1_top5_val,mol2_top5_pos,mol2_top5_val,mol1_top6_pos,mol1_top6_val,mol2_top6_pos,mol2_top6_val
c1ccc2c(c1)ccc1ccccc21,Clc1c(Cl)c(Cl)c2C(=O)OC(=O)c2c1Cl,1,10.0,0.844373,8.0,0.590388,5.0,0.550102,3.0,0.531166,9.0,0.51782,13.0,0.524179,7.0,0.35151,1.0,0.373266,6.0,0.333506,14.0,0.202947,12.0,0.189643,6.0,0.199976
C1=CC=C(C(=C1)[N+](=O)[O-])O,C1=CC=C(C(=C1)N)N,0,6.0,-0.31481,1.0,-0.81834,9.0,-0.124426,5.0,-0.389586,None,None,2.0,-0.170968,None,None,7.0,-0.15403,None,None,8.0,-0.121644,None,None,4.0,-0.051326
Clc1ccccc1C(N1C=CN=C1)(c1ccccc1)c1ccccc1,OC(=O)CCCCC(O)=O,1,18.0,1.559474,10.0,1.023504,14.0,0.833898,1.0,0.747837,21.0,0.75585,5.0,0.565281,5.0,0.687852,3.0,0.410262,16.0,0.559516,2.0,0.395783,17.0,0.482737,6.0,0.298989
NC(=O)c1cccnc1,Oc1cc(O)c2C(=O)C(=C(Oc2c1)c1ccc(O)c(O)c1)O,1,8.0,0.716933,16.0,0.885001,3.0,0.65309,10.0,0.807562,1.0,0.546575,19.0,0.786981,None,None,2.0,0.612827,None,None,8.0,0.487864,None,None,13.0,0.416554
CS(=O)(=O)c1ccc(cc1)C1=CN=C2C=CC(=NN12)c1cccc(c1)S(C)(=O)=O,OC(=O)CCCCC(O)=O,1,7.0,0.723156,None,None,9.0,0.709023,None,None,18.0,0.693639,None,None,22.0,0.556086,None,None,12.0,0.475943,None,None,25.0,0.430207,None,None
c1cc(ccn1)C=Cc1ccncc1,CCOc1ccc(cc1)C(O)=O,1,6.0,0.870827,4.0,0.920889,11.0,0.760165,6.0,0.804261,1.0,0.408566,11.0,0.324037,3.0,0.360146,7.0,0.1847,7.0,0.316183,10.0,0.175885,8.0,0.236591,12.0,0.136169
Cc1nc(C)c(Cl)c(N)n1,Nc1ccccc1C(O)=O,1,6.0,0.809028,8.0,1.677741,7.0,0.405831,3.0,0.485436,None,None,10.0,0.454268,None,None,7.0,0.343425,None,None,2.0,0.147899,None,None,9.0,0.023686
C1CN2CCN1CC2,OC(=O)CCCCCCC(O)=O,1,1.0,0.776463,3.0,0.981278,6.0,0.043121,10.0,0.754965,None,None,6.0,0.498798,None,None,8.0,0.47355,None,None,2.0,0.055123,None,None,4.0,0.01723
Cc1cccc2c1Sc1c(C)cccc21,O=C1c2cc(cc(C#N)c2c2c(cc(cc12)N(=O)=O)C#N)N(=O)=O,1,10.0,0.996943,21.0,1.059408,3.0,0.772488,22.0,0.668181,4.0,0.539321,18.0,0.591404,8.0,0.291705,17.0,0.567367,12.0,0.124101,5.0,0.281131,11.0,0.104079,6.0,0.203122
CN1N=NC2=C(N=CN2C1=O)C(N)=O,NC(=O)c1cccnc1,1,13.0,1.058277,2.0,0.997892,14.0,0.699099,8.0,0.682608,1.0,0.68916,5.0,0.451323,12.0,0.499035,1.0,0.178677,2.0,0.386712,3.0,0.112515,3.0,0.232162,7.0,0.07807
CN1C(=O)N(C)C2=C(NC=N2)C1=O,OC(C(O)C(O)=O)C(O)=O,1,10.0,0.78049,10.0,0.668129,4.0,0.588341,5.0,0.569885,9.0,0.585388,1.0,0.294594,1.0,0.516113,None,None,11.0,0.416011,None,None,8.0,0.084174,None,None
Cc1ccc(cc1)C=Cc1ccncc1,OC(=O)C=CC(O)=O,1,4.0,0.969357,7.0,0.709281,3.0,0.960082,2.0,0.440455,5.0,0.803184,5.0,0.345065,15.0,0.799035,None,None,10.0,0.723902,None,None,9.0,0.545427,None,None
FC1=CNC(=O)NC1=O,NC(N)=S,1,9.0,0.690799,3.0,0.494645,5.0,0.403898,4.0,0.221884,7.0,0.373688,2.0,0.01521,6.0,0.111704,None,None,2.0,0.059153,None,None,None,None,None,None
O=C1N=Cc2ccccc12,O=C1NC(=O)C2C3CC(C4N=NN(C34)c3ccccc3N(=O)=O)C12,1,10.0,0.602989,8.0,0.829362,5.0,0.307056,7.0,0.790464,7.0,0.012126,14.0,0.572304,None,None,15.0,0.408164,None,None,17.0,0.300034,None,None,16.0,0.292397
Cc1cc(C)nc(N)n1,OC(=O)c1ccccc1C(O)=O,1,3.0,0.635577,12.0,0.323898,7.0,0.479816,3.0,0.304501,8.0,0.385499,10.0,0.267408,9.0,0.373532,4.0,0.109339,4.0,0.160493,9.0,0.046456,None,None,None,None
Nc1ncccn1,OC(=O)Cc1ccc(CC(O)=O)cc1,1,6.0,1.033685,3.0,0.69305,3.0,0.755362,6.0,0.557012,1.0,0.593529,7.0,0.420386,7.0,0.487204,13.0,0.379145,5.0,0.202696,2.0,0.275512,None,None,12.0,0.239375
CCC(CC)=NNC(=O)c1ccncc1,OC(=O)c1ccc(cc1)N(=O)=O,1,8.0,0.752692,6.0,0.832117,14.0,0.730918,11.0,0.177835,9.0,0.701592,10.0,0.047924,6.0,0.537662,12.0,0.044787,4.0,0.422494,1.0,0.011593,1.0,0.329213,None,None
CN(C)c1ccc(cc1)C#N,Nc1ccc(cc1)C#N,1,1.0,0.83267,2.0,0.54702,2.0,0.75101,6.0,0.217257,8.0,0.614825,4.0,0.044613,5.0,0.406754,None,None,None,None,None,None,None,None,None,None
CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,N1C=Cc2ccccc12,1,9.0,0.539742,5.0,0.059044,10.0,0.47073,2.0,0.05378,17.0,0.446556,None,None,14.0,0.406208,None,None,8.0,0.297084,None,None,6.0,0.216292,None,None
c1ccc2ncc(cc2c1)C#CC#Cc1cnc2ccccc2c1,Fc1c(F)c(I)c(F)c(F)c1I,1,23.0,0.628778,6.0,0.495634,18.0,0.452553,1.0,0.445666,2.0,0.451725,7.0,0.24856,9.0,0.371997,9.0,0.24355,8.0,0.28594,2.0,0.188176,15.0,0.269987,12.0,0.181799
Nc1ccc(N)cc1,Oc1ccc(cc1)c1ccccc1,1,1.0,0.87395,5.0,1.184251,7.0,0.359299,2.0,0.778469,8.0,0.282995,4.0,0.330276,None,None,11.0,0.315392,None,None,6.0,0.086613,None,None,None,None
C1CNCCNCCNCCN1,Oc1cccc(O)c1,1,5.0,1.042129,5.0,0.531027,4.0,0.89436,7.0,0.085425,8.0,0.664048,2.0,0.001397,2.0,0.260001,None,None,1.0,0.019086,None,None,None,None,None,None
C(=O)(N)N,C1=CC(=CC(=C1)O)N,0,1.0,-0.347046,3.0,-0.268902,3.0,-0.134171,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
C(N1C=CN=C1C1=NC=CN1Cc1ccncc1)c1ccncc1,FC(F)(I)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,1,14.0,0.549526,7.0,0.914867,1.0,0.529109,10.0,0.830361,15.0,0.507443,6.0,0.56286,5.0,0.505761,20.0,0.425942,6.0,0.394973,5.0,0.261138,18.0,0.236891,2.0,0.237365
[NH3+]C(C(=O)NC(C(=O)[O-])c1ccccc1)c1cccc2ccccc12,CCOC(=O)C(C)O,1,25.0,1.104274,2.0,0.668085,1.0,0.740279,3.0,0.553864,20.0,0.665358,5.0,0.543099,2.0,0.417331,6.0,0.352653,4.0,0.400477,4.0,0.234832,17.0,0.321735,7.0,0.186635
CC(C)N(C(C)C)C(=O)C(=O)N(C(C)C)C(C)C,Cc1ccc(O)cc1,1,5.0,1.115272,5.0,0.534006,10.0,1.036574,8.0,0.126117,2.0,0.908353,6.0,0.104349,8.0,0.571624,4.0,0.038935,12.0,0.559599,None,None,11.0,0.494372,None,None
Nc1ncccn1,OC(=O)c1ccccc1Br,1,6.0,1.377399,5.0,0.774799,3.0,0.05672,1.0,0.465646,1.0,0.00114,9.0,0.421623,None,None,6.0,0.421114,None,None,4.0,0.277716,None,None,7.0,0.257454
